Komoditas (Rp);Semua Provinsi;Jawa Timur
Jan  2021 (III);74821;62800
Jan  2021 (IV);71515;65700
Feb  2021 (V);73129;60750
Feb  2021 (I);73466;61750
Feb  2021 (II);79132;81700
Feb  2021 (III);87748;88150
Mar  2021 (V);93845;101000
Mar  2021 (I);95032;101250
Mar  2021 (II);99792;110100
Mar  2021 (III);99419;97900
Mar  2021 (IV);92124;68100
Apr  2021 (I);85947;66600
Apr  2021 (II);83977;61850
Apr  2021 (III);72955;43950
Apr  2021 (IV);64958;44800
May  2021 (I);65621;46750
May  2021 (II);75031;54900
May  2021 (III);65940;37500
May  2021 (IV);56310;31400
May  2021 (V);51876;29650
Jun  2021 (I);50581;27550
Jun  2021 (II);51566;27400
Jun  2021 (III);58632;38250
Jun  2021 (IV);66190;45800
Jul  2021 (I);69505;52200
Jul  2021 (II);70874;56600
Jul  2021 (III);70655;54050
Jul  2021 (IV);60781;42600
Aug  2021 (V);54966;31300
Aug  2021 (I);51461;23750
Aug  2021 (II);46502;17200
Aug  2021 (III);41374;14450
Aug  2021 (IV);38471;15000
Sep  2021 (I);37252;15600
Sep  2021 (II);35687;16000
Sep  2021 (III);36224;18150
Sep  2021 (IV);38165;17250
Oct  2021 (I);39165;18850
Oct  2021 (II);40845;19500
Oct  2021 (III);41137;19800
Oct  2021 (IV);37866;17450
Nov  2021 (V);35895;17400
Nov  2021 (I);36079;16900
Nov  2021 (II);37310;15650
Nov  2021 (III);42489;21950
Nov  2021 (IV);52289;37900
Dec  2021 (I);71852;55550
Dec  2021 (II);81729;74850
Dec  2021 (III);91293;81400
Dec  2021 (IV);94115;73650
Jan  2022 (I);80166;50900
Jan  2022 (II);64353;36000
Jan  2022 (III);58416;31950
Jan  2022 (IV);50797;23050
Jan  2022 (V);48813;26850
Feb  2022 (I);52981;32650
Feb  2022 (II);54523;36650
Feb  2022 (III);60569;44050
Feb  2022 (IV);69134;56150
Mar  2022 (I);73219;53850
Mar  2022 (II);70595;46500
Mar  2022 (III);66608;42600
Mar  2022 (IV);63776;38800
Apr  2022 (I);63573;37800
Apr  2022 (II);53508;25650
Apr  2022 (III);48168;22650
Apr  2022 (IV);47521;25750
May  2022 (I);46715;24850
May  2022 (II);46778;38900
May  2022 (III);52411;45900
May  2022 (IV);60823;60400
Jun  2022 (I);76355;81250
Jun  2022 (II);84536;84050
Jun  2022 (III);88975;89200
Jun  2022 (IV);90952;85550
Jul  2022 (I);92008;88000
Jul  2022 (II);94472;84350
Jul  2022 (III);78588;63850
Jul  2022 (IV);70484;58600
Aug  2022 (V);67572;58300
Aug  2022 (I);67583;46850
Aug  2022 (II);63264;35600
Aug  2022 (III);57766;33300
Aug  2022 (IV);57700;40650
Sep  2022 (I);60884;47750
Sep  2022 (II);61986;50650
Sep  2022 (III);63906;56300
Sep  2022 (IV);61031;52000
Oct  2022 (I);59481;43000
Oct  2022 (II);57255;36100
Oct  2022 (III);51969;32050
Oct  2022 (IV);48298;28900
Oct  2022 (V);45580;23550
Nov  2022 (I);44428;23750
Nov  2022 (II);43777;26250
Nov  2022 (III);45206;27600
Nov  2022 (IV);45038;27650
