Komoditas (Rp);Semua Provinsi;Jawa Timur
Mar  2023 (I);48100;31050
Mar  2023 (II);49100;29900
Mar  2023 (III);47750;29350
Mar  2023 (IV);45750;25700
Apr  2023 (I);40550;21550
Apr  2023 (II);40550;20650
Apr  2023 (III);39500;23350
Apr  2023 (IV);39850;23700
May  2023 (V);35800;20500
May  2023 (I);35900;20300
May  2023 (II);35750;20300
May  2023 (III);36950;23650
May  2023 (IV);37800;25050
