Komoditas (Rp);Semua Provinsi;Jawa Timur
Mar  2023 (I);68000;74150
Mar  2023 (II);72900;76500
Mar  2023 (III);74150;76400
Mar  2023 (IV);62450;51950
Apr  2023 (I);51050;37250
Apr  2023 (II);45500;30050
Apr  2023 (III);45800;29300
Apr  2023 (IV);45100;28250
May  2023 (V);39650;25600
May  2023 (I);44050;29150
May  2023 (II);44500;31800
May  2023 (III);45950;37900
May  2023 (IV);46150;37000
